t,x,u,y,v
1.694989571671091e+01,9.085124406069874e-01,6.212640149258779e-01,4.104697303343573e-02,-5.646071284193897e-02
1.695076727557839e+01,9.090542915399306e-01,6.221441774941776e-01,4.099701700994267e-02,-5.817719508106665e-02
1.695162989569922e+01,9.095913452109686e-01,6.230260486121048e-01,4.094609541972559e-02,-5.988729106188091e-02
1.695248675104296e+01,9.101255675397288e-01,6.239127838531391e-01,4.089404889818675e-02,-6.159723365598375e-02
1.695333788013486e+01,9.106569765277822e-01,6.248043922165876e-01,4.084089485218402e-02,-6.330710153375152e-02
1.695418028000881e+01,9.111836871447542e-01,6.256976384867342e-01,4.078684816134718e-02,-6.501080211407162e-02
1.695501705023491e+01,9.117076272855404e-01,6.265957194546617e-01,4.073173703982776e-02,-6.671454373769073e-02
1.695584822843539e+01,9.122288144785783e-01,6.274986442345999e-01,4.067557806172321e-02,-6.841840462295783e-02
1.695667385198101e+01,9.127472661224950e-01,6.284064221693942e-01,4.061838756291366e-02,-7.012246322397252e-02
1.695749100789468e+01,9.132611429392196e-01,6.293157601168575e-01,4.056039353119674e-02,-7.182064626268526e-02
1.695830270286261e+01,9.137723256410275e-01,6.302299131828998e-01,4.050140853843816e-02,-7.351914058068443e-02
1.695910607305071e+01,9.142790006381823e-01,6.311455652595560e-01,4.044166628534140e-02,-7.521189172987093e-02
1.695990407442124e+01,9.147830221876587e-01,6.320659942057556e-01,4.038097230074537e-02,-7.690506575986479e-02
1.696069389145410e+01,9.152826020105088e-01,6.329878612873173e-01,4.031956571520903e-02,-7.859262618830229e-02
1.696148131465496e+01,9.157813967786856e-01,6.339178937435036e-01,4.025701376993631e-02,-8.028694756047375e-02
1.696226066200834e+01,9.162758012607786e-01,6.348493492526993e-01,4.019378502370224e-02,-8.197580623874391e-02
1.696303480108560e+01,9.167676246177437e-01,6.357855628459399e-01,4.012967115442433e-02,-8.366535275010079e-02
1.696380376669298e+01,9.172568829301619e-01,6.367265439397323e-01,4.006468625765579e-02,-8.535566445194748e-02
1.696456484575477e+01,9.177418400665750e-01,6.376688800501338e-01,3.999908339036633e-02,-8.704071356315624e-02
1.696532083862504e+01,9.182242704825354e-01,6.386159454723866e-01,3.993264472857576e-02,-8.872663558015523e-02
1.696607177929414e+01,9.187041898459170e-01,6.395677495699895e-01,3.986538368878715e-02,-9.041350755130589e-02
1.696681501828223e+01,9.191798950335747e-01,6.405208408865879e-01,3.979756061478538e-02,-9.209531281630373e-02
1.696755329030167e+01,9.196531265190711e-01,6.414786324946840e-01,3.972894877912206e-02,-9.377817391494842e-02
1.696828399057033e+01,9.201222048306715e-01,6.424376512724140e-01,3.965981276968937e-02,-9.545608751452161e-02
1.696901247618217e+01,9.205905630472339e-01,6.434048951848963e-01,3.958966129778119e-02,-9.714135729903947e-02
1.696973349041306e+01,9.210548155971919e-01,6.443733517162189e-01,3.951901592994934e-02,-9.882182482979332e-02
1.697044968620044e+01,9.215166608866368e-01,6.453464893774730e-01,3.944763866658742e-02,-1.005036065007573e-01
1.697115853665185e+01,9.219744596901954e-01,6.463207797979711e-01,3.937580298065955e-02,-1.021807015620543e-01
1.697186264994870e+01,9.224298867272116e-01,6.472997123888985e-01,3.930326600458605e-02,-1.038592131603789e-01
1.697256205774878e+01,9.228829565023691e-01,6.482832961498654e-01,3.923003930249268e-02,-1.055392175906976e-01
1.697325429239123e+01,9.233320608223726e-01,6.492679649985400e-01,3.915640221759118e-02,-1.072147193292298e-01
1.697394190092039e+01,9.237788424871199e-01,6.502572456695008e-01,3.908210460747664e-02,-1.088918146085670e-01
1.697462491425197e+01,9.242233156362152e-01,6.512511469684457e-01,3.900715747489812e-02,-1.105705795108195e-01
1.697530092256833e+01,9.246639024805843e-01,6.522460655348767e-01,3.893184560514057e-02,-1.122450218288058e-01
1.697597241320981e+01,9.251022145551830e-01,6.532455649335159e-01,3.885591207345369e-02,-1.139212328326959e-01
1.697663941636743e+01,9.255382656453357e-01,6.542496537428450e-01,3.877936734731045e-02,-1.155992884117678e-01
1.697729957871090e+01,9.259705077533132e-01,6.552546917641429e-01,3.870250124643623e-02,-1.172731977911739e-01
1.697795532927604e+01,9.264005217876674e-01,6.562642788945851e-01,3.862505053270283e-02,-1.189490492017890e-01
1.697860669754618e+01,9.268283211898410e-01,6.572784234527577e-01,3.854702516319915e-02,-1.206269183585518e-01
1.697925371280764e+01,9.272539193067247e-01,6.582971338588881e-01,3.846843494755284e-02,-1.223068813371633e-01
1.697989640415101e+01,9.276773293914445e-01,6.593204186330996e-01,3.838928954982034e-02,-1.239890145836728e-01
1.698053250402326e+01,9.280970481521285e-01,6.603445683014537e-01,3.830988708593046e-02,-1.256673114263040e-01
1.698116208002683e+01,9.285131072966233e-01,6.613695305735668e-01,3.823024355872314e-02,-1.273418049616882e-01
1.698178974786798e+01,9.289285513514558e-01,6.624027827065883e-01,3.814978774519101e-02,-1.290247732779870e-01
1.698241097831974e+01,9.293403767309963e-01,6.634368316562025e-01,3.806911271778447e-02,-1.307040740446412e-01
1.698302805716990e+01,9.297500894120588e-01,6.644753815497825e-01,3.798793982258140e-02,-1.323858126990063e-01
1.698364101216307e+01,9.301577020012770e-01,6.655184402675069e-01,3.790627779932423e-02,-1.340700654773052e-01
1.698424987085843e+01,9.305632270175098e-01,6.665660157636847e-01,3.782413525678197e-02,-1.357569090138054e-01
1.698485248507184e+01,9.309652244539711e-01,6.676143106164458e-01,3.774181969060428e-02,-1.374403175767502e-01
1.698545107209353e+01,9.313651642273454e-01,6.686670800613762e-01,3.765904576337318e-02,-1.391264103635759e-01
1.698604565883669e+01,9.317630585490964e-01,6.697243316744770e-01,3.757582165897611e-02,-1.408152639373994e-01
1.698663414747167e+01,9.321574944228825e-01,6.707822329095459e-01,3.749245819637487e-02,-1.425008443298647e-01
1.698721870331431e+01,9.325499140315099e-01,6.718445733579226e-01,3.740866569581261e-02,-1.441892775745228e-01
1.698779935264695e+01,9.329403292877554e-01,6.729113601861435e-01,3.732445193609896e-02,-1.458806401757439e-01
1.698837612157629e+01,9.333287520221284e-01,6.739826006085726e-01,3.723982457820653e-02,-1.475750090617282e-01
1.698894697513774e+01,9.337138027620359e-01,6.750544113707574e-01,3.715509879558965e-02,-1.492663294104042e-01
1.698951401375973e+01,9.340968892649993e-01,6.761306318818876e-01,3.706997930678822e-02,-1.509607469671999e-01
1.699007523680831e+01,9.344766509603014e-01,6.772073606591170e-01,3.698478269100894e-02,-1.526522057825044e-01
1.699063270927689e+01,9.348544762197345e-01,6.782884545483725e-01,3.689921160763993e-02,-1.543468511470512e-01
1.699118645623011e+01,9.352303763836530e-01,6.793739198087302e-01,3.681327308100082e-02,-1.560447594896908e-01
1.699173650256509e+01,9.356043627146060e-01,6.804637627224606e-01,3.672697402802402e-02,-1.577460076774941e-01
1.699228090760030e+01,9.359751068593933e-01,6.815540323539204e-01,3.664063463987596e-02,-1.594445142088945e-01
1.699282167444809e+01,9.363439641211050e-01,6.826486339738025e-01,3.655395282809574e-02,-1.611464488396279e-01
1.699335882742199e+01,9.367109454901075e-01,6.837475733541498e-01,3.646693516339659e-02,-1.628518884236909e-01
1.699389435235557e+01,9.370774053456261e-01,6.848549343003096e-01,3.637926529282508e-02,-1.645672215260525e-01
1.699442438492154e+01,9.374406938150344e-01,6.859626837879474e-01,3.629158604326483e-02,-1.662800733695712e-01
1.699494898144984e+01,9.378008375932556e-01,6.870707681709426e-01,3.620390812538981e-02,-1.679904630778647e-01
1.699547198799477e+01,9.381604715536225e-01,6.881872679945790e-01,3.611559877623301e-02,-1.697109328344021e-01
1.699598963056123e+01,9.385169951237180e-01,6.893040833343705e-01,3.602730514660854e-02,-1.714290706582318e-01
1.699650381379034e+01,9.388717114493986e-01,6.904252145422155e-01,3.593871713389401e-02,-1.731511163052961e-01
1.699701272353329e+01,9.392233604093215e-01,6.915465970256813e-01,3.585016189029588e-02,-1.748709116583287e-01
1.699751869311015e+01,9.395735464825365e-01,6.926732787740186e-01,3.576124669579900e-02,-1.765962800383873e-01
1.699801947344044e+01,9.399207053034386e-01,6.938001580300139e-01,3.567237992910892e-02,-1.783194900067014e-01
1.699851645613826e+01,9.402657923046583e-01,6.949302399098373e-01,3.558333004753709e-02,-1.800452248658445e-01
1.699900878212319e+01,9.406082025013188e-01,6.960614602906776e-01,3.549426507104301e-02,-1.817704167782025e-01
1.699949649502848e+01,9.409479563040940e-01,6.971937765606223e-01,3.540519335943312e-02,-1.834950907793325e-01
1.699998007256042e+01,9.412853773611549e-01,6.983281704818954e-01,3.531604262809118e-02,-1.852208287696883e-01
1.700045911898547e+01,9.416201804665089e-01,6.994635861910968e-01,3.522690063783772e-02,-1.869461105199317e-01
1.700093367675996e+01,9.419523855308005e-01,7.005999807075410e-01,3.513777526302633e-02,-1.886709589432629e-01
1.700140421070494e+01,9.422823089651789e-01,7.017383389552171e-01,3.504859372473917e-02,-1.903969540890063e-01
1.700187033576105e+01,9.426096718562204e-01,7.028776010058893e-01,3.495944337345031e-02,-1.921225734882213e-01
1.700233209323944e+01,9.429344936296363e-01,7.040177235223755e-01,3.487033162321025e-02,-1.938478379354543e-01
1.700278952406418e+01,9.432567935482414e-01,7.051586630534942e-01,3.478126573547504e-02,-1.955727674586852e-01
1.700324307628078e+01,9.435768785347285e-01,7.063014079476782e-01,3.469217242188552e-02,-1.972989394273303e-01
1.700369278277640e+01,9.438947637834715e-01,7.074459271758441e-01,3.460305798459715e-02,-1.990263877335388e-01
1.700413867615935e+01,9.442104643697156e-01,7.085921895211360e-01,3.451392861066167e-02,-2.007551457846172e-01
1.700458039153474e+01,9.445237133231784e-01,7.097391269916523e-01,3.442487080619024e-02,-2.024836848049899e-01
1.700501796805039e+01,9.448345291557640e-01,7.108866955723946e-01,3.433589114736458e-02,-2.042120215406743e-01
1.700545183430484e+01,9.451432077898267e-01,7.120358887944807e-01,3.424691579348644e-02,-2.059417333352340e-01
1.700588202175784e+01,9.454497638142746e-01,7.131866746349437e-01,3.415795047057062e-02,-2.076728511778624e-01
1.700630817836738e+01,9.457539379452001e-01,7.143379804205320e-01,3.406908105035551e-02,-2.094038416114920e-01
1.700673072154641e+01,9.460560197464398e-01,7.154908025901544e-01,3.398023344091620e-02,-2.111362825423178e-01
1.700714930550859e+01,9.463557536970114e-01,7.166440663416022e-01,3.389149317721807e-02,-2.128686380403568e-01
1.700756434024962e+01,9.466534251131818e-01,7.177987695784033e-01,3.380278605633876e-02,-2.146024859530533e-01
1.700797548612763e+01,9.469487821846129e-01,7.189538355159035e-01,3.371419726394226e-02,-2.163362877993618e-01
1.700838314585285e+01,9.472421060419483e-01,7.201102633895055e-01,3.362565251397465e-02,-2.180716214383095e-01
1.700878734898475e+01,9.475334104738576e-01,7.212680198206398e-01,3.353715680409480e-02,-2.198085136845189e-01
1.700918812483220e+01,9.478227091633337e-01,7.224270712489230e-01,3.344871503869455e-02,-2.215469908447424e-01
1.700958550245552e+01,9.481100156886868e-01,7.235873839326551e-01,3.336033203045877e-02,-2.232870787161640e-01
1.700997915666250e+01,9.483950869591368e-01,7.247478753408977e-01,3.327209216320202e-02,-2.250272302704256e-01
1.701036947303055e+01,9.486781942680492e-01,7.259095488898230e-01,3.318392096255626e-02,-2.267690261304513e-01
1.701075647986159e+01,9.489593508763020e-01,7.270723702873488e-01,3.309582296707655e-02,-2.285124903352840e-01
1.701114020521757e+01,9.492385699440760e-01,7.282363050639978e-01,3.300780262972523e-02,-2.302576464067237e-01
1.701152067692249e+01,9.495158645317979e-01,7.294013185737381e-01,3.291986431930288e-02,-2.320045173475392e-01
1.701189792256442e+01,9.497912476010739e-01,7.305673759948897e-01,3.283201232185533e-02,-2.337531256396640e-01
1.701227163342607e+01,9.500644861007260e-01,7.317333888349489e-01,3.274432998779475e-02,-2.355019130742420e-01
