x,y,numerical,analytical
0.764706,0.0784314,-0.696657,-0.696656
0.784314,0.0784314,-0.734432,-0.734431
0.803922,0.0784314,-0.769422,-0.76942
0.823529,0.0784314,-0.801492,-0.80149
0.843137,0.0784314,-0.830522,-0.830521
0.862745,0.0784314,-0.856402,-0.8564
0.882353,0.0784314,-0.879033,-0.879031
0.901961,0.0784314,-0.89833,-0.898328
0.921569,0.0784314,-0.914219,-0.914217
0.941176,0.0784314,-0.92664,-0.926638
0.960784,0.0784314,-0.935546,-0.935544
0.980392,0.0784314,-0.940903,-0.940901
0.0196078,0.0980392,0.99714,0.997138
0.0392157,0.0980392,0.991462,0.99146
0.0588235,0.0980392,0.982024,0.982022
0.0784314,0.0980392,0.968861,0.968859
0.0980392,0.0980392,0.952022,0.95202
0.117647,0.0980392,0.931572,0.93157
0.137255,0.0980392,0.907588,0.907586
0.156863,0.0980392,0.880162,0.88016
0.176471,0.0980392,0.849396,0.849395
0.196078,0.0980392,0.815409,0.815407
0.215686,0.0980392,0.778329,0.778327
0.235294,0.0980392,0.738296,0.738294
0.254902,0.0980392,0.695462,0.695461
0.27451,0.0980392,0.64999,0.649989
0.294118,0.0980392,0.602053,0.602052
0.313725,0.0980392,0.551832,0.551831
0.333333,0.0980392,0.499517,0.499516
0.352941,0.0980392,0.445308,0.445307
0.372549,0.0980392,0.38941,0.389409
0.392157,0.0980392,0.332034,0.332033
0.411765,0.0980392,0.273399,0.273398
0.431373,0.0980392,0.213727,0.213726
0.45098,0.0980392,0.153244,0.153243
0.470588,0.0980392,0.0921793,0.0921791
0.490196,0.0980392,0.0307653,0.0307653
0.509804,0.0980392,-0.0307653,-0.0307653
0.529412,0.0980392,-0.0921793,-0.0921791
0.54902,0.0980392,-0.153244,-0.153243
0.568627,0.0980392,-0.213727,-0.213726
0.588235,0.0980392,-0.273399,-0.273398
0.607843,0.0980392,-0.332034,-0.332033
0.627451,0.0980392,-0.38941,-0.389409
0.647059,0.0980392,-0.445308,-0.445307
0.666667,0.0980392,-0.499517,-0.499516
0.686275,0.0980392,-0.551832,-0.551831
0.705882,0.0980392,-0.602053,-0.602052
0.72549,0.0980392,-0.64999,-0.649989
0.745098,0.0980392,-0.695462,-0.695461
0.764706,0.0980392,-0.738296,-0.738294
0.784314,0.0980392,-0.778329,-0.778327
0.803922,0.0980392,-0.815409,-0.815407
0.823529,0.0980392,-0.849396,-0.849395
0.843137,0.0980392,-0.880162,-0.88016
0.862745,0.0980392,-0.907588,-0.907586
0.882353,0.0980392,-0.931572,-0.93157
0.901961,0.0980392,-0.952022,-0.95202
0.921569,0.0980392,-0.968861,-0.968859
0.941176,0.0980392,-0.982024,-0.982022
0.960784,0.0980392,-0.991462,-0.99146
0.980392,0.0980392,-0.99714,-0.997138
0.0196078,0.117647,0.95953,0.959528
0.0392157,0.117647,0.954067,0.954065
0.0588235,0.117647,0.944984,0.944982
0.0784314,0.117647,0.932317,0.932315
0.0980392,0.117647,0.916114,0.916112
0.117647,0.117647,0.896435,0.896433
0.137255,0.117647,0.873356,0.873354
0.156863,0.117647,0.846964,0.846962
0.176471,0.117647,0.817359,0.817357
0.196078,0.117647,0.784653,0.784652
0.215686,0.117647,0.748972,0.74897
0.235294,0.117647,0.710449,0.710447
0.254902,0.117647,0.669231,0.669229
0.27451,0.117647,0.625474,0.625473
0.294118,0.117647,0.579345,0.579343
